Data Set          Group  Name                          T/K      u^*                   Alpha_1           Alpha_2           Beta     Chi_ acc          Chi_GP
1                      1          3D HBrH, DIM-3C       200      9.21537            1.49949           1.49949           89.3     10.8777           10.87
1                      2          1D HBrH, DIM-3C       200      9.21537            1.49949           1.49949           89.3     7.25183           10.87
                                                                                                            
1                      1          3D HBrH, DIM-3C       250      7.37229            1.49949           1.49949           89.3     3.84137           3.85091
1                      2          1D HBrH, DIM-3C       250      7.37229            1.49949           1.49949           89.3     3.41455           3.85091
                                                                                                            
1                      1          3D HBrH, DIM-3C       300      6.14358            1.49949           1.49949           89.3     2.1349             1.90996
1                      2          1D HBrH, DIM-3C       300      6.14358            1.49949           1.49949           89.3     2.02254           1.90996
                                                                                                            
1                      1          3D HBrH, DIM-3C       400      4.60768            1.49949           1.49949           89.3     1.32423           1.30831
1                      2          1D HBrH, DIM-3C       400      4.60768            1.49949           1.49949           89.3     1.36003           1.30831
                                                                                                            
1                      1          3D HBrH, DIM-3C       600      3.07179            1.49949           1.49949           89.3     0.865975         0.89153
1                      2          1D HBrH, DIM-3C       600      3.07179            1.49949           1.49949           89.3     1.04755           0.89153
                                                                                                            
1                      1          3D HBrH, DIM-3C       1000    1.84307            1.49949           1.49949           89.3     0.872108         0.85227
1                      2          1D HBrH, DIM-3C       1000    1.84307            1.49949           1.49949           89.3     0.872108         0.85227
                                                                                                            
1                      1          3D HBrH, DIM-3C       1500    1.22872            1.49949           1.49949           89.3     0.696683         0.642289
1                      2          1D HBrH, DIM-3C       1500    1.22872            1.49949           1.49949           89.3     0.902021         0.642289
                                                                                                            
1                      1          3D HBrH, DIM-3C       2400    0.767947            1.49949           1.49949           89.3     0.246369         0.287963
1                      2          1D HBrH, DIM-3C       2400    0.767947            1.49949           1.49949           89.3     0.930168         0.287963
                                                                                                            
2                      4          3D DBrH, DIM-3C       200      7.71904            1.79016           1.79016           89.       3.62579           3.18082
2                      2          1D DBrH, DIM-3C       200      7.71904            1.79016           1.79016           89.       2.82006           3.18082
                                                                                                            
2                      4          3D DBrH, DIM-3C       250      6.17523            1.79016           1.79016           89.       1.84282           1.64046
2                      2          1D DBrH, DIM-3C       250      6.17523            1.79016           1.79016           89.       1.59152           1.64046
                                                                                                            
2                      4          3D DBrH, DIM-3C       300      5.14603            1.79016           1.79016           89.       1.34448           1.40403
2                      2          1D DBrH, DIM-3C       300      5.14603            1.79016           1.79016           89.       1.26539           1.40403
                                                                                                            
2                      4          3D DBrH, DIM-3C       400      3.85952            1.79016           1.79016           89.       1.01837           1.13527
2                      2          1D DBrH, DIM-3C       400      3.85952            1.79016           1.79016           89.       0.999855         1.13527
                                                                                                            
2                      4          3D DBrH, DIM-3C       600      2.57301            1.79016           1.79016           89.       0.822414         0.991451
2                      2          1D DBrH, DIM-3C       600      2.57301            1.79016           1.79016           89.       0.897178         0.991451
                                                                                                            
2                      4          3D DBrH, DIM-3C       1000    1.54381            1.79016           1.79016           89.       0.858108         0.936605
2                      2          1D DBrH, DIM-3C       1000    1.54381            1.79016           1.79016           89.       0.84917           0.936605
                                                                                                            
2                      4          3D DBrH, DIM-3C       1500    1.02921            1.79016           1.79016           89.       0.59385           0.807458
2                      2          1D DBrH, DIM-3C       1500    1.02921            1.79016           1.79016           89.       0.861664         0.807458
                                                                                                            
2                      4          3D DBrH, DIM-3C       2400    0.643253            1.79016           1.79016           89.       0.197868         0.639487
2                      2          1D DBrH, DIM-3C       2400    0.643253            1.79016           1.79016           89.       0.849562         0.639487
                                                                                                            
12                    4          3D HHH, LSTH           200      10.834             2.27678           2.27678           60.       13.3535           1.16993
12                    1          1D HHH, LSTH           200      10.834             2.27678           2.27678           60.       1.16843           1.16993
                                                                                                            
12                    4          3D HHH, LSTH           250      8.66719            2.27678           2.27678           60.       4.19176           0.889798
12                    1          1D HHH, LSTH           250      8.66719            2.27678           2.27678           60.       0.882475         0.889798
                                                                                                            
12                    4          3D HHH, LSTH           300      7.22266            2.27678           2.27678           60.       2.42862           0.833177
12                    1          1D HHH, LSTH           300      7.22266            2.27678           2.27678           60.       0.837454         0.833177
                                                                                                            
12                    4          3D HHH, LSTH           400      5.417               2.27678           2.27678           60.       1.87706           0.830611
12                    1          1D HHH, LSTH           400      5.417               2.27678           2.27678           60.       0.834248         0.830611
                                                                                                            
12                    4          3D HHH, LSTH           600      3.61133            2.27678           2.27678           60.       1.42918           0.87538
12                    1          1D HHH, LSTH           600      3.61133            2.27678           2.27678           60.       0.870908         0.87538
                                                                                                            
12                    4          3D HHH, LSTH           1000    2.1668             2.27678           2.27678           60.       1.08042           0.87565
12                    1          1D HHH, LSTH           1000    2.1668             2.27678           2.27678           60.       0.874628         0.87565
                                                                                                            
12                    4          3D HHH, LSTH           1500    1.44453            2.27678           2.27678           60.       0.812191         0.823711
12                    1          1D HHH, LSTH           1500    1.44453            2.27678           2.27678           60.       0.828435         0.823711
                                                                                                            
12                    4          3D HHH, LSTH           2400    0.902833            2.27678           2.27678           60.       0.954671         0.719873
12                    1          1D HHH, LSTH           2400    0.902833            2.27678           2.27678           60.       0.717912         0.719873
                                                                                                            
13                    4          3D HHH, PK2             200      15.7474            1.4593             1.4593             60.       15.8305           1.70046
13                    1          3D HHH, PK2             200      15.7474            1.4593             1.4593             60.       3.1661             1.70046
                                                                                                            
13                    4          3D HHH, PK2             250      12.5979            1.4593             1.4593             60.       5.86901           1.95613
13                    1          3D HHH, PK2             250      12.5979            1.4593             1.4593             60.       1.95634           1.95613
                                                                                                            
13                    4          3D HHH, PK2             300      10.4983            1.4593             1.4593             60.       3.50868           1.46233
13                    1          3D HHH, PK2             300      10.4983            1.4593             1.4593             60.       1.46195           1.46233
                                                                                                            
13                    4          3D HHH, PK2             400      7.87371            1.4593             1.4593             60.       1.78593           1.2421
13                    1          3D HHH, PK2             400      7.87371            1.4593             1.4593             60.       1.24238           1.2421
                                                                                                            
13                    4          3D HHH, PK2             600      5.24914            1.4593             1.4593             60.       1.26415           1.2098
13                    1          3D HHH, PK2             600      5.24914            1.4593             1.4593             60.       1.10998           1.2098
                                                                                                            
13                    4          3D HHH, PK2             1000    3.14948            1.4593             1.4593             60.       0.976263         1.00723
13                    1          3D HHH, PK2             1000    3.14948            1.4593             1.4593             60.       1.00677           1.00723
                                                                                                                        
13                    4          3D HHH, PK2             1500    2.09966            1.4593             1.4593             60.       0.946465         0.911308
13                    1          3D HHH, PK2             1500    2.09966            1.4593             1.4593             60.       0.912256         0.911308
                                                                                                            
13                    4          3D HHH, PK2             2400    1.31228            1.4593             1.4593             60.       0.94203           0.771352
13                    1          3D HHH, PK2             2400    1.31228            1.4593             1.4593             60.       0.770752         0.771352
                                                                                                            
20                    4          3D ODD, JWS             200      10.1074            3.12527           2.66071           48.2     9.11754           1.50284
20                    3          1D ODD, JWS             200      10.1074            3.12527           2.66071           48.2     4.55877           1.50284
                                                                                                                        
20                    4          3D ODD, JWS             250      8.08593            3.12527           2.66071           48.2     2.8368             1.32096
20                    3          1D ODD, JWS             250      8.08593            3.12527           2.66071           48.2     3.40416           1.32096
                                                                                                            
20                    4          3D ODD, JWS             300      6.73827            3.12527           2.66071           48.2     1.79495           1.1133
20                    3          1D ODD, JWS             300      6.73827            3.12527           2.66071           48.2     2.28448           1.1133
                                                                                                            
20                    4          3D ODD, JWS             400      5.0537             3.12527           2.66071           48.2     1.35767           0.923961
20                    3          1D ODD, JWS             400      5.0537             3.12527           2.66071           48.2     1.78966           0.923961
                                                                                                            
20                    4          3D ODD, JWS             600      3.36914            3.12527           2.66071           48.2     0.899165         0.856617
20                    3          1D ODD, JWS             600      3.36914            3.12527           2.66071           48.2     1.39157           0.856617
                                                                                                            
20                    4          3D ODD, JWS             1000    2.02148            3.12527           2.66071           48.2     0.885606         0.795349
20                    3          1D ODD, JWS             1000    2.02148            3.12527           2.66071           48.2     1.07271           0.795349
                                                                                                            
20                    4          3D ODD, JWS             1500    1.34765            3.12527           2.66071           48.2     0.904831         0.799017
20                    3          1D ODD, JWS             1500    1.34765            3.12527           2.66071           48.2     0.84212           0.799017
                                                                                                            
20                    4          3D ODD, JWS             2400    0.842284            3.12527           2.66071           48.2     0.895256         0.841759
20                    3          1D ODD, JWS             2400    0.842284            3.12527           2.66071           48.2     0.697069         0.841759
                                                                                                            
36                    4          3D ClDCl, BCMR        200      7.16511            3.00349           3.00349           19.       1.91262           1.50219
36                    1          1D ClDCl, BCMR        200      7.16511            3.00349           3.00349           19.       1.50278           1.50219
                                                                                                            
36                    4          3D ClDCl, BCMR        250      5.73209            3.00349           3.00349           19.       1.51926           1.27756
36                    1          1D ClDCl, BCMR        250      5.73209            3.00349           3.00349           19.       1.27618           1.27756
                                                                                                            
36                    4          3D ClDCl, BCMR        300      4.77674            3.00349           3.00349           19.       1.37366           1.11253
36                    1          1D ClDCl, BCMR        300      4.77674            3.00349           3.00349           19.       1.11378           1.11253
                                                                                                            
36                    4          3D ClDCl, BCMR        400      3.58255            3.00349           3.00349           19.       1.48982           0.861264
36                    1          1D ClDCl, BCMR        400      3.58255            3.00349           3.00349           19.       0.861305         0.861264
                                                                                                            
36                    4          3D ClDCl, BCMR        600      2.38837            3.00349           3.00349           19.       0.897957         0.555517
36                    1          1D ClDCl, BCMR        600      2.38837            3.00349           3.00349           19.       0.554208         0.555517
                                                                                                            
36                    4          3D ClDCl, BCMR        1000    1.43302            3.00349           3.00349           19.       0.625972         0.331727
36                    1          1D ClDCl, BCMR        1000    1.43302            3.00349           3.00349           19.       0.334184         0.331727
                                                                                                            
36                    4          3D ClDCl, BCMR        1500    0.955348            3.00349           3.00349           19.       0.494303         0.250906
36                    1          1D ClDCl, BCMR        1500    0.955348            3.00349           3.00349           19.       0.249205         0.250906
                                                                                                            
36                    4          3D ClDCl, BCMR        2400    0.597092            3.00349           3.00349           19.       0.398939         0.209999
36                    1          1D ClDCl, BCMR        2400    0.597092            3.00349           3.00349           19.       0.182815         0.209999
                                                                                                            
38                    4          3D ClHCl, BCMR        200      10.0571            2.13983           2.13983           13.6     1.38171           0.654628
38                    1          1D ClHCl, BCMR        200      10.0571            2.13983           2.13983           13.6     0.654493         0.654628
                                                                                                            
38                    4          3D ClHCl, BCMR        250      8.04564            2.13983           2.13983           13.6     1.21494           0.594246
38                    1          1D ClHCl, BCMR        250      8.04564            2.13983           2.13983           13.6     0.60747           0.594246
                                                                                                            
38                    4          3D ClHCl, BCMR        300      6.7047             2.13983           2.13983           13.6     1.09674           0.570253
38                    1          1D ClHCl, BCMR        300      6.7047             2.13983           2.13983           13.6     0.570304         0.570253
                                                                                                            
38                    4          3D ClHCl, BCMR        400      5.02853            2.13983           2.13983           13.6     2.08594           0.479663
38                    1          1D ClHCl, BCMR        400      5.02853            2.13983           2.13983           13.6     0.479526         0.479663
                                                                                                            
38                    4          3D ClHCl, BCMR        600      3.35235            2.13983           2.13983           13.6     0.757118         0.364572
38                    1          1D ClHCl, BCMR        600      3.35235            2.13983           2.13983           13.6     0.364538         0.364572
                                                                                                            
38                    4          3D ClHCl, BCMR        1000    2.01141            2.13983           2.13983           13.6     0.559075         0.248727
38                    1          1D ClHCl, BCMR        1000    2.01141            2.13983           2.13983           13.6     0.248273         0.248727
                                                                                                            
38                    4          3D ClHCl, BCMR        1500    1.34094            2.13983           2.13983           13.6     0.412149         0.182022
38                    1          1D ClHCl, BCMR        1500    1.34094            2.13983           2.13983           13.6     0.183577         0.182022
                                                                                                            
38                    4          3D ClHCl, BCMR        2400    0.838088            2.13983           2.13983           13.6     0.308592         0.136426
38                    1          1D ClHCl, BCMR        2400    0.838088            2.13983           2.13983           13.6     0.135153         0.136426

