ustat,alph1,alph2,beta,chi
15.74741383,1.459300484,1.459300484,60,15.873
14.97047428,1.535035444,1.535035444,54.7,22.33396246
14.17195306,2.228934006,1.897614209,46.7,25.00533162
13.50292178,2.339371332,1.991635584,37.6,10.80578496
13.00654372,2.668612712,2.307606075,46.7,11.67559725
12.98496207,2.438502164,2.076895515,46.7,5.734794249
12.85547214,1.787581846,1.787581846,70.5,20.19846187
12.81950272,2.469975536,2.103701687,46.7,5.860975129
12.59793107,1.459300484,1.459300484,60,1.956337114
12.59793107,1.459300484,1.459300484,60,5.869011343
11.97637942,1.535035444,1.535035444,54.7,6.166071677
11.97637942,1.535035444,1.535035444,54.7,6.166071677
11.33756245,2.228934006,1.897614209,46.7,10.18150718
11.29727669,2.22618806,1.893686787,46.7,2.062612408
11.24404195,2.462370602,11.31137892,11.6,0.339292266
10.9347049,1.813854054,1.572587606,45.8,2.390072574
10.83399051,2.276778671,2.276778671,60,1.168432142
10.83399051,2.276778671,2.276778671,60,13.3535102
10.80233742,2.339371332,1.991635584,37.6,3.630210499
10.73327613,2.943029485,2.505562997,57,10.14822124
10.72608224,1.799854635,1.553895548,45.8,0.723655658
10.56062289,2.035408227,2.035408227,13.6,3.873980624
10.5102657,2.344510523,2.344510523,60,3.280779311
10.49827589,1.459300484,1.459300484,60,1.461949251
10.49827589,1.459300484,1.459300484,60,3.508678202
10.43401052,2.576339974,2.216328943,46.7,0.435178536
10.40523498,2.668612712,2.307606075,46.7,3.332900094
10.38796966,2.438502164,2.076895515,46.7,2.295982385
10.28437771,1.787581846,1.787581846,70.5,4.837158692
10.25560218,2.469975536,2.103701687,46.7,1.949677332
10.10740815,3.125266898,2.660711737,48.2,4.558770882
10.10740815,3.125266898,2.660711737,48.2,9.117541765
10.05705095,2.139826954,2.139826954,13.6,0.654493105
10.05705095,2.139826954,2.139826954,13.6,1.381707666
9.980316183,1.535035444,1.535035444,54.7,3.055007364
9.980316183,1.535035444,1.535035444,54.7,3.055007364
9.970724337,2.471377975,2.471377975,54.7,1.537316688
9.848428295,1.960250739,1.692372726,36.4,0.243723225
9.704550599,2.541755877,2.541755877,45,0.703963704
9.447968708,2.228934006,1.897614209,46.7,3.216230844
9.414397246,2.22618806,1.893686787,46.7,1.476824613
9.215366433,1.49948776,1.49948776,89.3,10.87774285
9.215366433,1.49948776,1.49948776,89.3,7.251828565
9.00194785,2.339371332,1.991635584,37.6,2.133228043
8.995233558,2.462370602,11.31137892,11.6,0.355447936
8.8527,2.01417,2.12818,17,6.764705882
8.747763921,1.813854054,1.572587606,45.8,1.868793861
8.695008765,2.576339974,2.216328943,46.7,0.303741459
8.671029149,2.668612712,2.307606075,46.7,2.316454057
8.667192411,2.276778671,2.276778671,60,0.882475408
8.667192411,2.276778671,2.276778671,60,4.19175819
8.65664138,2.438502164,2.076895515,46.7,1.117834102
8.632661764,1.566148333,6.236981667,46.6,4.508678722
8.586620901,2.943029485,2.505562997,57,2.573331475
