ustat,alph1,alph2,beta,chi,diff,chi_label
12.59793107,1.459300484,1.459300484,60,1.956337114,0,0
12.59793107,1.459300484,1.459300484,60,5.869011343,0,1
11.97637942,1.535035444,1.535035444,54.7,6.166071677,0,1
11.97637942,1.535035444,1.535035444,54.7,6.166071677,0,1
11.33756245,2.228934006,1.897614209,46.7,10.18150718,0.331319797,1
11.29727669,2.22618806,1.893686787,46.7,2.062612408,0.332501274,0
11.24404195,2.462370602,11.31137892,11.6,0.339292266,8.849008317,0
10.9347049,1.813854054,1.572587606,45.8,2.390072574,0.241266447,0
10.83399051,2.276778671,2.276778671,60,1.168432142,0,0
10.83399051,2.276778671,2.276778671,60,13.3535102,0,1
10.80233742,2.339371332,1.991635584,37.6,3.630210499,0.347735749,1
10.73327613,2.943029485,2.505562997,57,10.14822124,0.437466488,1
10.72608224,1.799854635,1.553895548,45.8,0.723655658,0.245959088,0
10.56062289,2.035408227,2.035408227,13.6,3.873980624,0,1
10.5102657,2.344510523,2.344510523,60,3.280779311,0,1
10.49827589,1.459300484,1.459300484,60,1.461949251,0,0
10.49827589,1.459300484,1.459300484,60,3.508678202,0,1
10.43401052,2.576339974,2.216328943,46.7,0.435178536,0.360011031,0
10.40523498,2.668612712,2.307606075,46.7,3.332900094,0.361006637,1
10.38796966,2.438502164,2.076895515,46.7,2.295982385,0.361606648,0
10.28437771,1.787581846,1.787581846,70.5,4.837158692,0,1
10.25560218,2.469975536,2.103701687,46.7,1.949677332,0.36627385,0
10.10740815,3.125266898,2.660711737,48.2,4.558770882,0.46455516,1
10.10740815,3.125266898,2.660711737,48.2,9.117541765,0.46455516,1
10.05705095,2.139826954,2.139826954,13.6,0.654493105,0,0
10.05705095,2.139826954,2.139826954,13.6,1.381707666,0,0
9.980316183,1.535035444,1.535035444,54.7,3.055007364,0,1
9.980316183,1.535035444,1.535035444,54.7,3.055007364,0,1
9.970724337,2.471377975,2.471377975,54.7,1.537316688,0,0
9.848428295,1.960250739,1.692372726,36.4,0.243723225,0.267878013,0
9.704550599,2.541755877,2.541755877,45,0.703963704,0,0
9.447968708,2.228934006,1.897614209,46.7,3.216230844,0.331319797,1
9.414397246,2.22618806,1.893686787,46.7,1.476824613,0.332501274,0
9.215366433,1.49948776,1.49948776,89.3,10.87774285,0,1
9.215366433,1.49948776,1.49948776,89.3,7.251828565,0,1
